language,category,recall_mean,recall_sd,precision_mean,precision_sd,f1_mean,f1_sd,support_mean,baseline_recall_mean
OE,ADJ,0.9088644585974184,0.005893979334710687,0.9134393202798309,0.006358457916106761,0.9111237213830549,0.0034386712594779542,7335.4,0.8413930327327106
OE,ADV,0.952102299511098,0.007027957586036821,0.9633178851769619,0.005047703111217365,0.9576479143386727,0.0015891205032144194,10520.0,0.8166817375451172
OE,AP,0.9793401624173512,0.0022176127051058915,0.9796382586473997,0.0030866721772036462,0.9794839298589538,0.0008762208472151828,15375.2,0.8903530120098389
OE,C,0.9695731034219184,0.005949531650161856,0.9592760963991263,0.005907647387837258,0.9643756949520433,0.003064918806045454,4736.6,0.9816958699135178
OE,CONJ,0.9936849189717838,0.0015075014198289243,0.9970644378296983,0.0008426028694909072,0.9953711216891417,0.0007988923617554544,10272.6,0.9421845333731002
OE,D,0.9780156685551805,0.002879585464837777,0.9810919483144194,0.00244148860056429,0.9795462125355175,0.0008913250270984549,12106.4,0.8188693826914069
OE,INTJ,0.9447574006633775,0.008060293876057875,0.9784438299798802,0.013937503137100416,0.9612397357464373,0.006815616463351897,128.8,0.9528590132027885
OE,N,0.9767339346222238,0.0010963486740798428,0.9707797995424322,0.003457559250916783,0.973743788689232,0.0013442878933489877,31706.2,0.9818033529721255
OE,NEG,0.9913781433589396,0.0029001651119966946,0.9863409822866149,0.004539735314304258,0.9888446972984142,0.002041132139223663,1209.0,0.9996680049785478
OE,NUM,0.9649218116471383,0.0047348042497416636,0.9758609614828518,0.0072770254527071134,0.9703341363831944,0.0023428030795583986,1495.0,0.9780648624642488
OE,PART,0.8630354132413409,0.023683280643680867,0.9307778744531013,0.02447109629503851,0.8951441982295082,0.00636510607890014,619.4,0.6503384158270666
OE,PRO,0.9907692669678486,0.0013662103927168227,0.994780406669787,0.001610960798982528,0.9927691563410329,0.0004559860335421339,12705.8,0.9466213366563189
OE,PRO$,0.9894377615015746,0.002964230545661186,0.9855287397273116,0.0005716629815985886,0.9874777328878448,0.0015775043583079354,3578.4,0.9956970355909013
OE,Q,0.9733441899643458,0.004201447067580475,0.9876081315057395,0.0030102584397014307,0.980417016538847,0.002124524196635444,3613.4,0.9658393094747899
OE,TO,0.935270989933003,0.020981854856933834,0.8438048699666346,0.04169064520872344,0.88639537480029,0.01735916261979372,341.4,0.0
OE,VB,0.97676296548421,0.0021873941686761616,0.973096603369964,0.0019912720671222805,0.9749228824067302,0.000406036688366532,26815.8,0.9188463366196018
OE,WH,0.9687328268905822,0.007755776944897846,0.9700584043706563,0.007828606957760444,0.9693495140201449,0.00235839643148693,833.2,0.9362313352006915
OS,ADJ,0.7845175688584146,0.01661452809403432,0.7976033121282623,0.052257905816935804,0.7902455477527421,0.028467333708693067,300.2,0.693246233792839
OS,ADV,0.9314707311306206,0.004441655963860616,0.9705736968647638,0.007082699727469738,0.9506091241060488,0.004545061399296939,443.2,0.928443474275524
OS,ALSO,0.9512820512820515,0.07387107841480989,1.0,0.0,0.9738181818181818,0.040115535623335606,9.6,1.0
OS,AP,0.9821907712650294,0.003420099931396256,0.9744135747230119,0.010001740313122032,0.9782753705752185,0.006516086588852422,382.4,0.9849158783856329
OS,C,0.9101090397851268,0.040415339894300364,0.9517352411215407,0.03644795340706059,0.9294347763745521,0.01754272588322018,134.6,0.7377144067203849
OS,CONJ,0.9602069401248645,0.02790017410046454,0.9841956979676606,0.011052425806438637,0.971763236477658,0.010667494160549655,111.4,0.9223599119957611
OS,D,0.9774728282623076,0.011679705498645603,0.9817660995213627,0.00873310802022103,0.9795564939254767,0.0060108387502469775,356.6,0.8348421997372191
OS,INTJ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
OS,N,0.9316852520125549,0.013074412235665137,0.9279021878456174,0.006987539222847264,0.9297255284315907,0.005902385558161569,1157.0,0.9879850389388635
